GO_ID,GO_Term,Annotated,Significant,Expected,elimKS_pvalue,Ontology
GO:0005200,structural constituent of cytoskeleton,25,1,1.16,9.341797e-01,MF
GO:0016209,antioxidant activity,282,11,13.13,9.342582e-01,MF
GO:0016628,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor",65,4,3.03,9.363181e-01,MF
GO:0016829,lyase activity,465,21,21.64,9.363394e-01,MF
GO:0003824,catalytic activity,10879,513,506.35,9.392920e-01,MF
GO:0008236,serine-type peptidase activity,285,15,13.26,9.407222e-01,MF
GO:0017171,serine hydrolase activity,285,15,13.26,9.407222e-01,MF
GO:0016866,intramolecular transferase activity,42,2,1.95,9.408292e-01,MF
GO:0016877,"ligase activity, forming carbon-sulfur bonds",22,1,1.02,9.424899e-01,MF
GO:0008483,transaminase activity,58,3,2.70,9.426151e-01,MF
GO:0016769,"transferase activity, transferring nitrogenous groups",59,3,2.75,9.447878e-01,MF
GO:0003843,"1,3-beta-D-glucan synthase activity",14,1,0.65,9.457190e-01,MF
GO:0003674,molecular_function,11276,529,524.83,9.480526e-01,MF
GO:0033192,calmodulin-dependent protein phosphatase activity,31,2,1.44,9.491094e-01,MF
GO:0004723,calcium-dependent protein serine/threonine phosphatase activity,31,2,1.44,9.491094e-01,MF
GO:0051015,actin filament binding,32,2,1.49,9.505307e-01,MF
GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",299,12,13.92,9.522405e-01,MF
GO:0016811,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",88,4,4.10,9.544505e-01,MF
GO:0004601,peroxidase activity,264,10,12.29,9.544953e-01,MF
GO:0016684,"oxidoreductase activity, acting on peroxide as acceptor",264,10,12.29,9.544953e-01,MF
GO:0003777,microtubule motor activity,36,2,1.68,9.546074e-01,MF
GO:0000293,ferric-chelate reductase activity,29,1,1.35,9.552018e-01,MF
GO:0016757,glycosyltransferase activity,287,13,13.36,9.568646e-01,MF
GO:0016903,"oxidoreductase activity, acting on the aldehyde or oxo group of donors",64,4,2.98,9.570923e-01,MF
GO:0008375,acetylglucosaminyltransferase activity,49,2,2.28,9.575043e-01,MF
GO:0016407,acetyltransferase activity,159,5,7.40,9.578486e-01,MF
GO:0019200,carbohydrate kinase activity,21,1,0.98,9.581335e-01,MF
GO:0004933,mating-type a-factor pheromone receptor activity,15,1,0.70,9.586510e-01,MF
GO:0016849,phosphorus-oxygen lyase activity,23,1,1.07,9.593995e-01,MF
GO:0016722,"oxidoreductase activity, acting on metal ions",31,1,1.44,9.603753e-01,MF
GO:0015925,galactosidase activity,27,1,1.26,9.613533e-01,MF
GO:0016740,transferase activity,3071,141,142.94,9.614822e-01,MF
GO:0000049,tRNA binding,30,1,1.40,9.622215e-01,MF
GO:0003954,NADH dehydrogenase activity,16,1,0.74,9.653402e-01,MF
GO:0004843,cysteine-type deubiquitinase activity,56,3,2.61,9.659932e-01,MF
GO:0003682,chromatin binding,15,1,0.70,9.679385e-01,MF
GO:0004721,phosphoprotein phosphatase activity,168,9,7.82,9.682046e-01,MF
GO:0019205,nucleobase-containing compound kinase activity,27,1,1.26,9.696586e-01,MF
GO:0016780,"phosphotransferase activity, for other substituted phosphate groups",21,1,0.98,9.726964e-01,MF
GO:0016887,ATP hydrolysis activity,354,15,16.48,9.729219e-01,MF
GO:0005198,structural molecule activity,77,3,3.58,9.730458e-01,MF
GO:0016701,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen",49,2,2.28,9.739511e-01,MF
GO:0004527,exonuclease activity,75,4,3.49,9.744975e-01,MF
GO:0016746,acyltransferase activity,477,17,22.20,9.745003e-01,MF
GO:0005484,SNAP receptor activity,19,1,0.88,9.756803e-01,MF
GO:0005509,calcium ion binding,137,6,6.38,9.760499e-01,MF
GO:0008237,metallopeptidase activity,213,9,9.91,9.777532e-01,MF
GO:0003723,RNA binding,725,31,33.74,9.777654e-01,MF
GO:0016899,"oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor",20,1,0.93,9.782621e-01,MF
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",397,12,18.48,9.791490e-01,MF
GO:0051087,protein-folding chaperone binding,26,1,1.21,9.821462e-01,MF
GO:0030527,structural constituent of chromatin,77,1,3.58,9.829457e-01,MF
GO:0004620,glycerophospholipase activity,28,1,1.30,9.841793e-01,MF
GO:0120544,polypeptide conformation or assembly isomerase activity,45,2,2.09,9.842791e-01,MF
GO:0017056,structural constituent of nuclear pore,23,1,1.07,9.843539e-01,MF
GO:0030246,carbohydrate binding,122,5,5.68,9.844362e-01,MF
GO:0101005,deubiquitinase activity,69,3,3.21,9.856043e-01,MF
GO:0019783,ubiquitin-like protein peptidase activity,69,3,3.21,9.856043e-01,MF
GO:0003677,DNA binding,1099,38,51.15,9.859866e-01,MF
GO:0000166,nucleotide binding,72,3,3.35,9.866636e-01,MF
GO:0001664,G protein-coupled receptor binding,44,1,2.05,9.872859e-01,MF
GO:0005102,signaling receptor binding,44,1,2.05,9.872859e-01,MF
GO:0015631,tubulin binding,72,3,3.35,9.875483e-01,MF
GO:0008080,N-acetyltransferase activity,39,1,1.82,9.886669e-01,MF
GO:0019843,rRNA binding,20,1,0.93,9.890245e-01,MF
GO:0052689,carboxylic ester hydrolase activity,117,3,5.45,9.896797e-01,MF
GO:0051539,"4 iron, 4 sulfur cluster binding",52,2,2.42,9.897893e-01,MF
GO:0003724,RNA helicase activity,66,3,3.07,9.900002e-01,MF
GO:0140101,"catalytic activity, acting on a tRNA",137,2,6.38,9.907339e-01,MF
GO:0004175,endopeptidase activity,406,18,18.90,9.911432e-01,MF
GO:0003746,translation elongation factor activity,45,1,2.09,9.917560e-01,MF
GO:0005515,protein binding,707,31,32.91,9.919980e-01,MF
GO:0003755,peptidyl-prolyl cis-trans isomerase activity,42,1,1.95,9.924498e-01,MF
GO:0016859,cis-trans isomerase activity,42,1,1.95,9.924498e-01,MF
GO:0051537,"2 iron, 2 sulfur cluster binding",26,1,1.21,9.924924e-01,MF
GO:0008081,phosphoric diester hydrolase activity,92,2,4.28,9.926610e-01,MF
GO:0016803,ether hydrolase activity,26,1,1.21,9.930325e-01,MF
GO:0016801,"hydrolase activity, acting on ether bonds",26,1,1.21,9.930325e-01,MF
GO:0019899,enzyme binding,84,3,3.91,9.931826e-01,MF
GO:0008270,zinc ion binding,959,38,44.64,9.932235e-01,MF
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",700,25,32.58,9.941552e-01,MF
GO:0008017,microtubule binding,52,2,2.42,9.955530e-01,MF
GO:0016772,"transferase activity, transferring phosphorus-containing groups",1358,59,63.21,9.956952e-01,MF
GO:0004722,protein serine/threonine phosphatase activity,99,4,4.61,9.960895e-01,MF
GO:0016798,"hydrolase activity, acting on glycosyl bonds",767,25,35.70,9.964635e-01,MF
GO:0003779,actin binding,94,3,4.38,9.966603e-01,MF
GO:0046872,metal ion binding,1703,65,79.26,9.968898e-01,MF
GO:0042578,phosphoric ester hydrolase activity,338,16,15.73,9.973413e-01,MF
GO:0016853,isomerase activity,606,17,28.21,9.977904e-01,MF
GO:0004672,protein kinase activity,816,36,37.98,9.981529e-01,MF
GO:0004190,aspartic-type endopeptidase activity,155,6,7.21,9.982386e-01,MF
GO:0070001,aspartic-type peptidase activity,155,6,7.21,9.982386e-01,MF
GO:0016773,"phosphotransferase activity, alcohol group as acceptor",906,40,42.17,9.983417e-01,MF
GO:0120569,phospholipase activity,40,1,1.86,9.990693e-01,MF
GO:0008233,peptidase activity,998,37,46.45,9.991684e-01,MF
GO:0016298,lipase activity,42,1,1.95,9.999831e-01,MF
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,11,0,0.51,1.000000e+00,MF
GO:0004402,histone acetyltransferase activity,18,0,0.84,1.000000e+00,MF
GO:0120558,lysophospholipase A1 activity,11,0,0.51,1.000000e+00,MF
GO:0061733,protein-lysine-acetyltransferase activity,18,0,0.84,1.000000e+00,MF
GO:0004596,protein-N-terminal amino-acid acetyltransferase activity,5,0,0.23,1.000000e+00,MF
GO:0004535,poly(A)-specific ribonuclease activity,5,0,0.23,1.000000e+00,MF
GO:0004435,"phosphatidylinositol-4,5-bisphosphate phospholipase C activity",11,0,0.51,1.000000e+00,MF
GO:0003968,RNA-directed RNA polymerase activity,26,1,1.21,1.000000e+00,MF
GO:0043139,5'-3' DNA helicase activity,5,0,0.23,1.000000e+00,MF
GO:0004844,uracil DNA N-glycosylase activity,6,0,0.28,1.000000e+00,MF
GO:0004767,sphingomyelin phosphodiesterase activity,12,0,0.56,1.000000e+00,MF
GO:0140938,histone H3 methyltransferase activity,9,0,0.42,1.000000e+00,MF
GO:0004525,ribonuclease III activity,23,0,1.07,1.000000e+00,MF
GO:0016274,protein-arginine N-methyltransferase activity,7,0,0.33,1.000000e+00,MF
GO:0051118,"glucan endo-1,3-alpha-glucosidase activity",21,0,0.98,1.000000e+00,MF
GO:0052654,L-leucine:2-oxoglutarate transaminase activity,5,0,0.23,1.000000e+00,MF
GO:0004534,5'-3' RNA exonuclease activity,7,0,0.33,1.000000e+00,MF
GO:0052656,L-isoleucine:2-oxoglutarate transaminase activity,5,0,0.23,1.000000e+00,MF
GO:0004934,mating-type alpha-factor pheromone receptor activity,22,0,1.02,1.000000e+00,MF
GO:0043138,3'-5' DNA helicase activity,6,0,0.28,1.000000e+00,MF
GO:0052655,L-valine:2-oxoglutarate transaminase activity,5,0,0.23,1.000000e+00,MF
GO:0016985,"mannan endo-1,4-beta-mannosidase activity",18,0,0.84,1.000000e+00,MF
GO:0008821,crossover junction DNA endonuclease activity,25,0,1.16,1.000000e+00,MF
GO:0032574,5'-3' RNA helicase activity,6,0,0.28,1.000000e+00,MF
GO:0004629,C-type glycerophospholipase activity,11,0,0.51,1.000000e+00,MF
GO:0000175,3'-5'-RNA exonuclease activity,13,0,0.61,1.000000e+00,MF
GO:0004343,glucosamine 6-phosphate N-acetyltransferase activity,5,0,0.23,1.000000e+00,MF
GO:0140322,A1-type glycerophospholipase activity,11,0,0.51,1.000000e+00,MF
GO:0052692,raffinose alpha-galactosidase activity,10,0,0.47,1.000000e+00,MF
GO:0034212,protein N-acetyltransferase activity,23,0,1.07,1.000000e+00,MF
GO:0003924,GTPase activity,336,9,15.64,1.000000e+00,MF
GO:0004798,dTMP kinase activity,5,0,0.23,1.000000e+00,MF
GO:0004523,RNA-DNA hybrid ribonuclease activity,93,0,4.33,1.000000e+00,MF
GO:0016279,protein-lysine N-methyltransferase activity,20,0,0.93,1.000000e+00,MF
GO:0003899,DNA-directed RNA polymerase activity,28,0,1.30,1.000000e+00,MF
GO:0102545,B-type glycerophospholipase activity,9,0,0.42,1.000000e+00,MF
GO:0000309,nicotinamide-nucleotide adenylyltransferase activity,10,0,0.47,1.000000e+00,MF
GO:0019206,nucleoside kinase activity,5,0,0.23,1.000000e+00,MF
GO:0016895,"DNA exonuclease activity, producing 5'-phosphomonoesters",7,0,0.33,1.000000e+00,MF
GO:0004427,inorganic diphosphate phosphatase activity,5,0,0.23,1.000000e+00,MF
GO:0004396,hexokinase activity,10,0,0.47,1.000000e+00,MF
GO:0008422,beta-glucosidase activity,13,0,0.61,1.000000e+00,MF
GO:0004932,mating-type factor pheromone receptor activity,34,1,1.58,1.000000e+00,MF
GO:0004583,dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity,5,0,0.23,1.000000e+00,MF
GO:0036318,peptide pheromone receptor activity,32,1,1.49,1.000000e+00,MF
GO:0000009,"alpha-1,6-mannosyltransferase activity",7,0,0.33,1.000000e+00,MF
GO:0043864,indoleacetamide hydrolase activity,11,0,0.51,1.000000e+00,MF
GO:0003918,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity",9,0,0.42,1.000000e+00,MF
GO:0003871,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity,7,0,0.33,1.000000e+00,MF
GO:0017061,S-methyl-5-thioadenosine phosphorylase activity,5,0,0.23,1.000000e+00,MF
GO:0004557,alpha-galactosidase activity,10,0,0.47,1.000000e+00,MF
GO:0004556,alpha-amylase activity,15,0,0.70,1.000000e+00,MF
GO:0004515,nicotinate-nucleotide adenylyltransferase activity,8,0,0.37,1.000000e+00,MF
GO:0042054,histone methyltransferase activity,9,0,0.42,1.000000e+00,MF
GO:0120570,sphingophospholipase activity,12,0,0.56,1.000000e+00,MF
GO:0051751,"alpha-1,4-mannosyltransferase activity",6,0,0.28,1.000000e+00,MF
GO:0016891,"RNA endonuclease activity producing 5'-phosphomonoesters, hydrolytic mechanism",123,1,5.72,1.000000e+00,MF
GO:0008649,rRNA methyltransferase activity,8,0,0.37,1.000000e+00,MF
GO:0017150,tRNA dihydrouridine synthase activity,7,0,0.33,1.000000e+00,MF
GO:0004112,cyclic-nucleotide phosphodiesterase activity,8,0,0.37,1.000000e+00,MF
GO:0070006,metalloaminopeptidase activity,24,0,1.12,1.000000e+00,MF
GO:0004105,choline-phosphate cytidylyltransferase activity,7,0,0.33,1.000000e+00,MF
GO:0047507,"deoxynucleoside phosphate kinase activity, ATP as phosphate donor",5,0,0.23,1.000000e+00,MF
GO:0004198,calcium-dependent cysteine-type endopeptidase activity,12,0,0.56,1.000000e+00,MF
GO:0031176,"endo-1,4-beta-xylanase activity",24,0,1.12,1.000000e+00,MF
GO:0140492,metal-dependent deubiquitinase activity,12,0,0.56,1.000000e+00,MF
GO:0017110,nucleoside diphosphate phosphatase activity,8,0,0.37,1.000000e+00,MF
GO:0051731,polynucleotide 5'-hydroxyl-kinase activity,8,0,0.37,1.000000e+00,MF
GO:0009044,"xylan 1,4-beta-xylosidase activity",8,0,0.37,1.000000e+00,MF
GO:0004169,dolichyl-phosphate-mannose-protein mannosyltransferase activity,7,0,0.33,1.000000e+00,MF
GO:0097506,deaminated base DNA N-glycosylase activity,6,0,0.28,1.000000e+00,MF
GO:0008175,tRNA methyltransferase activity,7,0,0.33,1.000000e+00,MF
GO:0016896,"RNA exonuclease activity, producing 5'-phosphomonoesters",20,0,0.93,1.000000e+00,MF
GO:0004348,glucosylceramidase activity,14,0,0.65,1.000000e+00,MF
GO:0047429,nucleoside triphosphate diphosphatase activity,10,0,0.47,1.000000e+00,MF
GO:0016278,lysine N-methyltransferase activity,20,0,0.93,1.000000e+00,MF
GO:0004582,dolichyl-phosphate beta-D-mannosyltransferase activity,6,0,0.28,1.000000e+00,MF
GO:0004471,malate dehydrogenase (decarboxylating) (NAD+) activity,5,0,0.23,1.000000e+00,MF
GO:0019789,SUMO transferase activity,6,0,0.28,1.000000e+00,MF
GO:0017111,ribonucleoside triphosphate phosphatase activity,690,24,32.12,1.000000e+00,MF
GO:0004674,protein serine/threonine kinase activity,384,15,17.87,1.000000e+00,MF
GO:0003964,RNA-directed DNA polymerase activity,124,2,5.77,1.000000e+00,MF
GO:0004356,glutamine synthetase activity,7,0,0.33,1.000000e+00,MF
GO:0034062,5'-3' RNA polymerase activity,52,1,2.42,1.000000e+00,MF
GO:0003906,DNA-(apurinic or apyrimidinic site) endonuclease activity,9,0,0.42,1.000000e+00,MF
GO:0004555,"alpha,alpha-trehalase activity",7,0,0.33,1.000000e+00,MF
GO:0004084,branched-chain-amino-acid:2-oxoglutarate transaminase activity,5,0,0.23,1.000000e+00,MF
GO:0016273,arginine N-methyltransferase activity,7,0,0.33,1.000000e+00,MF
GO:0004376,GPI mannosyltransferase activity,9,0,0.42,1.000000e+00,MF
GO:0003884,D-amino-acid oxidase activity,19,0,0.88,1.000000e+00,MF
GO:0004768,stearoyl-CoA 9-desaturase activity,7,0,0.33,1.000000e+00,MF
GO:0016889,"DNA endonuclease activity, producing 3'-phosphomonoesters",25,0,1.16,1.000000e+00,MF
GO:0008252,nucleotidase activity,9,0,0.42,1.000000e+00,MF
GO:0004560,alpha-L-fucosidase activity,20,0,0.93,1.000000e+00,MF
GO:0003678,DNA helicase activity,123,0,5.72,1.000000e+00,MF
GO:0120562,GlcNAc(2)-PP-Dol mannosyltransferase activity,7,0,0.33,1.000000e+00,MF
GO:0004337,"(2E,6E)-farnesyl diphosphate synthase activity",6,0,0.28,1.000000e+00,MF
GO:0004748,"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor",15,0,0.70,1.000000e+00,MF
GO:0061578,K63-linked deubiquitinase activity,13,0,0.61,1.000000e+00,MF
GO:0004713,protein tyrosine kinase activity,36,0,1.68,1.000000e+00,MF
GO:0004100,chitin synthase activity,30,0,1.40,1.000000e+00,MF
GO:0004161,dimethylallyltranstransferase activity,6,0,0.28,1.000000e+00,MF
GO:0008172,S-methyltransferase activity,9,0,0.42,1.000000e+00,MF
GO:0016160,amylase activity,15,0,0.70,1.000000e+00,MF
GO:0003852,2-isopropylmalate synthase activity,10,0,0.47,1.000000e+00,MF
GO:0004020,adenylylsulfate kinase activity,6,0,0.28,1.000000e+00,MF
GO:0004765,shikimate kinase activity,5,0,0.23,1.000000e+00,MF
GO:0008892,guanine deaminase activity,6,0,0.28,1.000000e+00,MF
GO:0140385,amino acid transaminase activity,11,0,0.51,1.000000e+00,MF
GO:0106413,RNA dihydrouridine synthase activity,7,0,0.33,1.000000e+00,MF
GO:0004792,thiosulfate-cyanide sulfurtransferase activity,7,0,0.33,1.000000e+00,MF
GO:0140186,protein N-acyltransferase activity,23,0,1.07,1.000000e+00,MF
GO:0051920,peroxiredoxin activity,14,0,0.65,1.000000e+00,MF
GO:0030599,pectinesterase activity,18,0,0.84,1.000000e+00,MF
GO:0046556,alpha-L-arabinofuranosidase activity,29,0,1.35,1.000000e+00,MF
GO:0000215,tRNA 2'-phosphotransferase activity,5,0,0.23,1.000000e+00,MF
GO:0004529,DNA exonuclease activity,7,0,0.33,1.000000e+00,MF
GO:0120531,prenyl diphosphate synthase activity,6,0,0.28,1.000000e+00,MF
GO:0004099,chitin deacetylase activity,30,0,1.40,1.000000e+00,MF
GO:0050525,cutinase activity,15,0,0.70,1.000000e+00,MF
GO:0004520,DNA endonuclease activity,39,0,1.82,1.000000e+00,MF
GO:0032296,double-stranded RNA-specific ribonuclease activity,23,0,1.07,1.000000e+00,MF
GO:0004298,threonine-type endopeptidase activity,6,0,0.28,1.000000e+00,MF
GO:0017040,N-acylsphingosine amidohydrolase activity,5,0,0.23,1.000000e+00,MF
GO:0004326,tetrahydrofolylpolyglutamate synthase activity,6,0,0.28,1.000000e+00,MF
GO:0004731,purine-nucleoside phosphorylase activity,8,0,0.37,1.000000e+00,MF
GO:0004521,RNA endonuclease activity,151,3,7.03,1.000000e+00,MF
GO:0052716,hydroquinone:oxygen oxidoreductase activity,8,0,0.37,1.000000e+00,MF
GO:0004332,fructose-bisphosphate aldolase activity,6,0,0.28,1.000000e+00,MF
GO:0008173,RNA methyltransferase activity,22,0,1.02,1.000000e+00,MF
GO:0016405,CoA-ligase activity,6,0,0.28,1.000000e+00,MF
GO:0070569,uridylyltransferase activity,7,0,0.33,1.000000e+00,MF
GO:0004479,methionyl-tRNA formyltransferase activity,6,0,0.28,1.000000e+00,MF
GO:0004104,cholinesterase activity,7,0,0.33,1.000000e+00,MF
GO:0070566,adenylyltransferase activity,16,0,0.74,1.000000e+00,MF
GO:0004359,glutaminase activity,5,0,0.23,1.000000e+00,MF
GO:0016972,thiol oxidase activity,6,0,0.28,1.000000e+00,MF
GO:0004351,glutamate decarboxylase activity,7,0,0.33,1.000000e+00,MF
GO:0004753,saccharopine dehydrogenase activity,5,0,0.23,1.000000e+00,MF
GO:0004764,shikimate 3-dehydrogenase (NADP+) activity,7,0,0.33,1.000000e+00,MF
GO:0008528,G protein-coupled peptide receptor activity,34,1,1.58,1.000000e+00,MF
GO:0017042,glycosylceramidase activity,14,0,0.65,1.000000e+00,MF
GO:0030596,alpha-L-rhamnosidase activity,5,0,0.23,1.000000e+00,MF
GO:0019202,amino acid kinase activity,6,0,0.28,1.000000e+00,MF
GO:0050233,pyranose oxidase activity,6,0,0.28,1.000000e+00,MF
GO:0016503,pheromone receptor activity,34,1,1.58,1.000000e+00,MF
